"學年度","代碼","學校名稱","公/私立","縣市名稱","地址","電話","網址"
112,014634,市立復興國小,公立,[01]新北市,[235]新北市中和區復興路301巷6號,(02)22472993,https://web.fsps.ntpc.edu.tw
112,014635,市立興南國小,公立,[01]新北市,[235]新北市中和區興南路一段135巷24號,(02)29422349,https://www.hnps.ntpc.edu.tw
112,014636,市立秀山國小,公立,[01]新北市,[235]新北市中和區立人街2號,(02)29434353,https://www.ssps.ntpc.edu.tw
112,014637,市立積穗國小,公立,[01]新北市,[235]新北市中和區員山路154號,(02)22225533,https://www.tjsps.ntpc.edu.tw
112,014638,市立自強國小,公立,[01]新北市,[235]新北市中和區莒光路200號,(02)29557936,https://www.jcps.ntpc.edu.tw
112,014639,市立錦和國小,公立,[01]新北市,[235]新北市中和區圓通路292號,(02)22479495,https://www.chps.ntpc.edu.tw
112,014640,市立景新國小,公立,[01]新北市,[235]新北市中和區景新街467巷37號,(02)29448021,https://www.jsps.ntpc.edu.tw
112,014641,市立永和國小,公立,[01]新北市,[234]新北市永和區秀朗路一段120號,(02)29214615,https://www.yhes.ntpc.edu.tw
112,014642,市立秀朗國小,公立,[01]新北市,[234]新北市永和區得和路202號,(02)29420451,https://www.hles.ntpc.edu.tw
112,014643,市立頂溪國小,公立,[01]新北市,[234]新北市永和區文化路133號,(02)29212058,https://www.thps.ntpc.edu.tw
112,014644,市立網溪國小,公立,[01]新北市,[234]新北市永和區竹林路79號,(02)89264470,https://www.whps.ntpc.edu.tw
112,014645,市立永平國小,公立,[01]新北市,[234]新北市永和區保生路25號,(02)29259879,https://www.ypes.ntpc.edu.tw
112,014646,市立土城國小,公立,[01]新北市,[236]新北市土城區興城路17號,(02)22700177,https://www.ttcps.ntpc.edu.tw
112,014647,市立清水國小,公立,[01]新北市,[236]新北市土城區金城路二段356號,(02)22618316,https://www.cses.ntpc.edu.tw
112,014648,市立頂埔國小,公立,[01]新北市,[236]新北市土城區頂福里中央路四段205號,(02)22686800,https://www.dpes.ntpc.edu.tw
112,014649,市立廣福國小,公立,[01]新北市,[236]新北市土城區學府路一段127號,(02)22626782,https://www.gfes.ntpc.edu.tw
112,014650,市立汐止國小,公立,[01]新北市,[221]新北市汐止區大同路二段313號,(02)26477271,https://www.hjes.ntpc.edu.tw
112,014651,市立長安國小,公立,[01]新北市,[221]新北市汐止區長興街一段80號,(02)86480944,https://www.chanes.ntpc.edu.tw
112,014652,市立保長國小,公立,[01]新北市,[221]新北市汐止區大同路三段553號,(02)86482502,https://www.bjes.ntpc.edu.tw
112,014653,市立崇德國小,公立,[01]新北市,[221]新北市汐止區茄苳里茄苳路158號,(02)86482052,https://www.cdps.ntpc.edu.tw
112,014654,市立北港國小,公立,[01]新北市,[221]新北市汐止區汐萬路二段279號,(02)26462832,https://www.bkes.ntpc.edu.tw
112,014655,市立北峰國小,公立,[01]新北市,[221]新北市汐止區中興里環河街1號,(02)26941817,https://www.pfes.ntpc.edu.tw
112,014656,市立東山國小,公立,[01]新北市,[221]新北市汐止區東山里汐平路二段76號,(02)26416170,https://www.dsps.ntpc.edu.tw
112,014657,市立白雲國小,公立,[01]新北市,[221]新北市汐止區福山里民權街二段90號,(02)26403909,https://www.pyps.ntpc.edu.tw
112,014658,市立萬里國小,公立,[01]新北市,[207]新北市萬里區瑪鋉路18號,(02)24922034,https://www.wlps.ntpc.edu.tw
112,014659,市立野柳國小,公立,[01]新北市,[207]新北市萬里區野柳里港東路167號,(02)24922512,https://www.ylps.ntpc.edu.tw
112,014660,市立大鵬國小,公立,[01]新北市,[207]新北市萬里區大鵬里加投路14號,(02)24988131,https://www.tpes.ntpc.edu.tw
112,014661,市立大坪國小,公立,[01]新北市,[207]新北市萬里區雙興里大坪路1號,(02)24929461,https://www.dpps.ntpc.edu.tw
112,014662,市立崁腳國小,公立,[01]新北市,[207]新北市萬里區崁脚里崁脚路59號,(02)24922037,https://www.kjps.ntpc.edu.tw
112,014663,市立金山國小,公立,[01]新北市,[208]新北市金山區中山路234號,(02)24981125,https://www.tpcses.ntpc.edu.tw
112,014664,市立中角國小,公立,[01]新北市,[208]新北市金山區萬壽里海興路49號,(02)24982413,https://www.jjps.ntpc.edu.tw
112,014665,市立三和國小,公立,[01]新北市,[208]新北市金山區重和里11鄰六股林口38號,(02)24080417,https://www.sanho.ntpc.edu.tw
112,014666,市立新店國小,公立,[01]新北市,[231]新北市新店區新店路2號,(02)29103483,https://www.xdes.ntpc.edu.tw
112,014667,市立直潭國小,公立,[01]新北市,[231]新北市新店區直潭路92號,(02)26667278,https://www.jtes.ntpc.edu.tw
112,014668,市立青潭國小,公立,[01]新北市,[231]新北市新店區北宜路二段80號,(02)22173146,https://www.chtes.ntpc.edu.tw
112,014669,市立雙峰國小,公立,[01]新北市,[231]新北市新店區北宜路三段66號,(02)22174543,https://www.sfes.ntpc.edu.tw
112,014670,市立大豐國小,公立,[01]新北市,[231]新北市新店區民族路108號,(02)22192619,https://www.dfes.ntpc.edu.tw
112,014671,市立中正國小,公立,[01]新北市,[231]新北市新店區三民路36號,(02)29125432,https://web.ccps.ntpc.edu.tw
112,014672,市立安坑國小,公立,[01]新北市,[231]新北市新店區安忠路36號,(02)22110560,https://www.takes.ntpc.edu.tw
112,014673,市立雙城國小,公立,[01]新北市,[231]新北市新店區安康路三段322號,(02)22156511,https://www.tcsps.ntpc.edu.tw
112,014674,市立屈尺國小,公立,[01]新北市,[231]新北市新店區屈尺路55號,(02)26667490,https://www.ccyes.ntpc.edu.tw
112,014675,市立龜山國小,公立,[01]新北市,[231]新北市新店區新烏路三段99巷10號,(02)26667317,https://www.gses.ntpc.edu.tw
112,014676,市立深坑國小,公立,[01]新北市,[222]新北市深坑區深坑里文化街45號,(02)26624675,https://www.tskes.ntpc.edu.tw
112,014677,市立石碇國小,公立,[01]新北市,[223]新北市石碇區石碇里石碇西街15號,(02)26631244,https://www.stes.ntpc.edu.tw
112,014678,市立和平國小,公立,[01]新北市,[223]新北市石碇區靜安路一段5號,(02)26631405,https://www.hpps.ntpc.edu.tw
112,014679,市立永定國小,公立,[01]新北市,[223]新北市石碇區永定里靜安路一段245號,(02)26631288,https://www.tydes.ntpc.edu.tw
112,014680,市立雲海國小,公立,[01]新北市,[223]新北市石碇區北宜路五段坑內巷1號,(02)26651715,https://www.whies.ntpc.edu.tw
112,014682,市立坪林國小,公立,[01]新北市,[232]新北市坪林區坪林里坪林街114號,(02)26656213,https://www.plnes.ntpc.edu.tw
112,014684,市立烏來國(中)小,公立,[01]新北市,[233]新北市烏來區啦卡路5號,(02)26616482,https://www.wups.ntpc.edu.tw
112,014685,市立德拉楠民族實驗小學,公立,[01]新北市,[233]新北市烏來區福山里李茂岸56號,(02)26616124,https://www.fses.ntpc.edu.tw
112,014686,市立瑞芳國小,公立,[01]新北市,[224]新北市瑞芳區龍川里中山路2號,(02)24972058,https://www.rfes.ntpc.edu.tw
112,014687,市立義方國小,公立,[01]新北市,[224]新北市瑞芳區龍山里逢甲路360號,(02)24970961,https://web.jfps.ntpc.edu.tw
112,014688,市立瑞柑國小,公立,[01]新北市,[224]新北市瑞芳區明燈路一段18巷13號,(02)24971009,https://www.rges.ntpc.edu.tw
112,014689,市立瑞濱國小,公立,[01]新北市,[224]新北市瑞芳區瑞濱路34號,(02)24978184,https://www.jpes.ntpc.edu.tw
112,014690,市立九份國小,公立,[01]新北市,[224]新北市瑞芳區永慶里崙頂路145號,(02)24972263,https://www.jfes.ntpc.edu.tw
112,014691,市立瓜山國小,公立,[01]新北市,[224]新北市瑞芳區石山里五號路306號,(02)24962036,https://www.gsps.ntpc.edu.tw
112,014692,市立濂洞國小,公立,[01]新北市,[224]新北市瑞芳區濓洞里洞頂路101巷80號,(02)24961330,https://www.ldes.ntpc.edu.tw/
112,014693,市立猴硐-蒙特梭利實小,公立,[01]新北市,[224]新北市瑞芳區弓橋里九芎橋路69-1號,(02)24960450,https://www.htes.ntpc.edu.tw
112,014694,市立瑞亭國小,公立,[01]新北市,[224]新北市瑞芳區四腳亭埔路23號,(02)24971726,https://www.rtes.ntpc.edu.tw
112,014695,市立吉慶國小,公立,[01]新北市,[224]新北市瑞芳區吉安里大埔路95號,(02)24576405,https://www.cces.ntpc.edu.tw
112,014696,市立鼻頭國小,公立,[01]新北市,[224]新北市瑞芳區鼻頭里鼻頭路99號,(02)24911571,https://www.pitoues.ntpc.edu.tw
112,014697,市立雙溪國小,公立,[01]新北市,[227]新北市雙溪區共和里東榮街54號,(02)24931005,https://www.sses.ntpc.edu.tw
112,014698,市立柑林國小,公立,[01]新北市,[227]新北市雙溪區長源里柑腳3號,(02)24931624,https://www.gles.ntpc.edu.tw
112,014699,市立上林國小,公立,[01]新北市,[227]新北市雙溪區上林里內平林60號,(02)24931671,https://www.ulps.ntpc.edu.tw
112,014700,市立牡丹國小,公立,[01]新北市,[227]新北市雙溪區三貂里政光路3號,(02)24931240,https://www.mdps.ntpc.edu.tw
112,014702,市立貢寮國小,公立,[01]新北市,[228]新北市貢寮區雙玉里學苑街7號,(02)24941274,https://www.kles.ntpc.edu.tw
112,014703,市立福隆國小,公立,[01]新北市,[228]新北市貢寮區福隆里東興街35號,(02)24991449,https://www.flps.ntpc.edu.tw
112,014704,市立澳底國小,公立,[01]新北市,[228]新北市貢寮區真理里延平街10號,(02)24901432,https://www.aodi.ntpc.edu.tw
112,014706,市立和美國小,公立,[01]新北市,[228]新北市貢寮區和美里龍洞街1之9號,(02)24909431,https://www.hmps.ntpc.edu.tw
112,014708,市立福連國小,公立,[01]新北市,[228]新北市貢寮區福連里福連街1號,(02)24991194,https://www.fulps.ntpc.edu.tw
112,014709,市立平溪國小,公立,[01]新北市,[226]新北市平溪區平溪街56號,(02)24951038,https://www.pses.ntpc.edu.tw
112,014710,市立菁桐國小,公立,[01]新北市,[226]新北市平溪區菁桐街45號,(02)24951009,https://www.tgtes.ntpc.edu.tw
112,014711,市立十分國小,公立,[01]新北市,[226]新北市平溪區十分里十分街157號,(02)24958305,https://www.tsfes.ntpc.edu.tw
112,014712,市立淡水國小,公立,[01]新北市,[251]新北市淡水區協元里中山路160號,(02)26212755,https://www.tsps.ntpc.edu.tw
112,014713,市立育英國小,公立,[01]新北市,[251]新北市淡水區埤島里14號,(02)26214390,https://www.yies.ntpc.edu.tw
112,014714,市立文化國小,公立,[01]新北市,[251]新北市淡水區文化里真理街6號,(02)26212031,https://www.twhps.ntpc.edu.tw
112,014715,市立天生國小,公立,[01]新北市,[251]新北市淡水區淡海路72巷26號,(02)28052695,https://www.tisnes.ntpc.edu.tw
112,014716,市立水源國小,公立,[01]新北市,[251]新北市淡水區水源里北新路二段15號,(02)26211347,https://www.hyes.ntpc.edu.tw
112,014717,市立興仁國小,公立,[01]新北市,[251]新北市淡水區興仁路101巷10號,(02)26213783,https://web.shrens.ntpc.edu.tw
112,014718,市立忠山實驗小學,公立,[01]新北市,[251]新北市淡水區忠山里行忠路899號,(02)26216139,https://www.tcses.ntpc.edu.tw
112,014719,市立屯山國小,公立,[01]新北市,[251]新北市淡水區淡金路五段111號,(02)28012591,https://www.ttses.ntpc.edu.tw
112,014720,市立中泰國小,公立,[01]新北市,[251]新北市淡水區中和里北勢子5號,(02)28012033,https://www.ctps.ntpc.edu.tw
112,014721,市立坪頂國小,公立,[01]新北市,[251]新北市淡水區坪頂路757號,(02)86263105,https://www.pdes.ntpc.edu.tw
112,014722,市立竹圍國小,公立,[01]新北市,[251]新北市淡水區中正東路二段145號,(02)28091475,https://www.cwps.ntpc.edu.tw
112,014723,市立石門國小,公立,[01]新北市,[253]新北市石門區尖鹿里中央路9號,(02)26381263,https://www.smes.ntpc.edu.tw
112,014724,市立乾華國小,公立,[01]新北市,[253]新北市石門區茂林里茂林社區74號,(02)26381269,https://web.cwes.ntpc.edu.tw/
112,014725,市立老梅實驗小學,公立,[01]新北市,[253]新北市石門區老梅里老梅路10號,(02)26381258,https://www.lmes.ntpc.edu.tw
112,014726,市立三芝國小,公立,[01]新北市,[252]新北市三芝區埔頭里育英街22號,(02)26362005,https://www.sces.ntpc.edu.tw
112,014727,市立橫山國小,公立,[01]新北市,[252]新北市三芝區橫山里86號,(02)26362473,https://www.hses.ntpc.edu.tw
112,014728,市立興華國小,公立,[01]新北市,[252]新北市三芝區興華里田心子5號,(02)26371366,https://www.hhes.ntpc.edu.tw
112,014729,市立新莊國小,公立,[01]新北市,[242]新北市新莊區立人里中正路86號,(02)29931201,https://www.scps.ntpc.edu.tw
112,014730,市立中港國小,公立,[01]新北市,[242]新北市新莊區立志里中港一街142號,(02)29925550,https://www.jgps.ntpc.edu.tw
112,014731,市立思賢國小,公立,[01]新北市,[242]新北市新莊區自立街229號,(02)29980443,https://www.sies.ntpc.edu.tw
112,014732,市立頭前國小,公立,[01]新北市,[242]新北市新莊區頭前里化成路231號,(02)29920238,https://www.tcps.ntpc.edu.tw
112,014733,市立國泰國小,公立,[01]新北市,[242]新北市新莊區中正路386號,(02)29043693,https://www.gtps.ntpc.edu.tw
112,014734,市立豐年國小,公立,[01]新北市,[242]新北市新莊區國泰里瓊泰路116號,(02)22017102,https://www.fnes.ntpc.edu.tw
112,014735,市立丹鳳國小,公立,[01]新北市,[242]新北市新莊區新北大道七段437號,(02)29035355,https://www.tfon.ntpc.edu.tw
112,014736,市立光華國小,公立,[01]新北市,[242]新北市新莊區龍安路452號,(02)22058866,https://www.ghes.ntpc.edu.tw
112,014737,市立民安國小,公立,[01]新北市,[242]新北市新莊區民全里民安路二六一號,(02)22056777,https://www.maes.ntpc.edu.tw
112,014738,市立昌隆國小,公立,[01]新北市,[242]新北市新莊區昌隆街63號,(02)29962351,https://www.clps.ntpc.edu.tw
112,014739,市立泰山國小,公立,[01]新北市,[243]新北市泰山區泰林路二段255號,(02)29098842,https://www.tses.ntpc.edu.tw
112,014740,市立明志國小,公立,[01]新北市,[243]新北市泰山區新生路2號,(02)29061133,https://www.mjes.ntpc.edu.tw
112,014741,市立成州國小,公立,[01]新北市,[248]新北市五股區成泰路三段493號,(02)22933613,https://www.cjoes.ntpc.edu.tw
112,014742,市立更寮國小,公立,[01]新北市,[248]新北市五股區四維路2號,(02)29824591,https://www.glps.ntpc.edu.tw
112,014743,市立五股國小,公立,[01]新北市,[248]新北市五股區五股里成泰路二段49號,(02)22917191,https://www.wkes.ntpc.edu.tw
112,014744,市立蘆洲國小,公立,[01]新北市,[247]新北市蘆洲區中正路100號,(02)22816202,https://www.lces.ntpc.edu.tw
112,014745,市立鷺江國小,公立,[01]新北市,[247]新北市蘆洲區民族路7號,(02)22819980,https://www.lcps.ntpc.edu.tw
112,014746,市立八里國小,公立,[01]新北市,[249]新北市八里區舊城里中山路二段338號,(02)26102217,https://www.ples.ntpc.edu.tw
112,014747,市立長坑國小,公立,[01]新北市,[249]新北市八里區中華路三段236號,(02)26102037,https://www.ckes.ntpc.edu.tw
112,014748,市立米倉國小,公立,[01]新北市,[249]新北市八里區米倉里龍米路2段129巷1號,(02)26182202,https://www.mtes.ntpc.edu.tw
112,014749,市立林口國小,公立,[01]新北市,[244]新北市林口區菁湖里林口路76號,(02)26011010,https://www.lkes.ntpc.edu.tw
112,014750,市立南勢國小,公立,[01]新北市,[244]新北市林口區南勢五街2號,(02)26091020,https://www.nses.ntpc.edu.tw
112,014751,市立嘉寶國小,公立,[01]新北市,[244]新北市林口區嘉寶里22號,(02)26052716,https://www.jbes.ntpc.edu.tw
112,014752,市立瑞平國小,公立,[01]新北市,[244]新北市林口區太平里後坑路34之1號,(02)26052779,https://www.rpes.ntpc.edu.tw
112,014753,市立興福國小,公立,[01]新北市,[244]新北市林口區下福里20鄰10-1號,(02)26062895,https://www.hfps.ntpc.edu.tw
112,014754,市立三重國小,公立,[01]新北市,[241]新北市三重區三和路三段1號,(02)29722095,https://www.tsces.ntpc.edu.tw
112,014755,市立永福國小,公立,[01]新北市,[241]新北市三重區永福里永福街66號,(02)22876716,https://www.yfes.ntpc.edu.tw
112,014756,市立光榮國小,公立,[01]新北市,[241]新北市三重區介壽路32號,(02)29730392,https://www.gres.ntpc.edu.tw
112,014757,市立厚德國小,公立,[01]新北市,[241]新北市三重區忠孝路一段70號,(02)29868825,https://www.hdes.ntpc.edu.tw
112,014758,市立碧華國小,公立,[01]新北市,[241]新北市三重區五華街160號,(02)28577792,https://www.bhes.ntpc.edu.tw
112,014759,市立三光國小,公立,[01]新北市,[241]新北市三重區同安里大同南路157號,(02)29753308,https://www.skes.ntpc.edu.tw/
112,014760,市立光興國小,公立,[01]新北市,[241]新北市三重區正義南路62號,(02)29755352,https://www.kses.ntpc.edu.tw
112,014761,市立正義國小,公立,[01]新北市,[241]新北市三重區信義西街31號,(02)29853138,https://www.jyes.ntpc.edu.tw
112,014762,市立修德國小,公立,[01]新北市,[241]新北市三重區重陽路三段3號,(02)29800495,https://www.sude.ntpc.edu.tw
112,014763,市立二重國小,公立,[01]新北市,[241]新北市三重區二重里大有街10號,(02)29846446,https://www.eces.ntpc.edu.tw
112,014764,市立興穀國小,公立,[01]新北市,[241]新北市三重區神農街101號,(02)29990725,https://www.skps.ntpc.edu.tw
112,014765,市立興化國小,公立,[01]新北市,[248]新北市新莊區福興里五工二路50巷2號,(02)22991001,https://www.tshes.ntpc.edu.tw
112,014766,市立中山國小,公立,[01]新北市,[220]新北市板橋區大觀路二段59巷31號,(02)22755313,https://www.jshps.ntpc.edu.tw
112,014767,市立三多國小,公立,[01]新北市,[238]新北市樹林區三福街52號,(02)26880698,https://www.sdes.ntpc.edu.tw
112,014768,市立實踐國小,公立,[01]新北市,[220]新北市板橋區實踐路93巷51號,(02)29531233,https://www.sjps.ntpc.edu.tw
112,014769,市立大觀國小,公立,[01]新北市,[220]新北市板橋區大觀路一段30號,(02)29603373,https://www.tgps.ntpc.edu.tw
112,014770,市立溪洲國小,公立,[01]新北市,[220]新北市板橋區金門街289號,(02)26867705,https://www.sips.ntpc.edu.tw
112,014771,市立信義國小,公立,[01]新北市,[220]新北市板橋區四川路二段245巷60號,(02)89667817,https://www.thyes.ntpc.edu.tw
112,014772,市立重慶國小,公立,[01]新北市,[220]新北市板橋區廣和街31號,(02)29565592,https://www.cges.ntpc.edu.tw
112,014773,市立樂利國小,公立,[01]新北市,[236]新北市土城區裕生路65號,(02)22662568,https://www.llps.ntpc.edu.tw
112,014774,市立安和國小,公立,[01]新北市,[236]新北市土城區延和路23號,(02)22603451,https://www.anhoes.ntpc.edu.tw
112,014775,市立彭福國小,公立,[01]新北市,[238]新北市樹林區忠孝街30號,(02)86866589,https://www.pfps.ntpc.edu.tw
112,014776,市立育林國小,公立,[01]新北市,[238]新北市樹林區復興路395號,(02)26832112,https://www.yles.ntpc.edu.tw
112,014777,市立建國國小,公立,[01]新北市,[239]新北市鶯歌區育英街2號,(02)26709228,https://web.ckps.ntpc.edu.tw
112,014778,市立安溪國小,公立,[01]新北市,[237]新北市三峽區中華路42號,(02)26731488,https://www.ases.ntpc.edu.tw
112,014779,市立樟樹國小,公立,[01]新北市,[221]新北市汐止區樟樹一路141巷2號,(02)26421407,https://www.tctes.ntpc.edu.tw
112,014780,市立金美國小,公立,[01]新北市,[208]新北市金山區忠孝一路111號,(02)24986503,https://www.gmes.ntpc.edu.tw
112,014781,市立新和國小,公立,[01]新北市,[231]新北市新店區安和路三段100號,(02)29400170,https://www.hhps.ntpc.edu.tw
112,014782,市立鄧公國小,公立,[01]新北市,[251]新北市淡水區學府里學府路99號,(02)26297121,https://www.dkes.ntpc.edu.tw
112,014783,市立新興國小,公立,[01]新北市,[251]新北市淡水區新興街123號,(02)26203645,https://www.shes.ntpc.edu.tw
112,014784,市立重陽國小,公立,[01]新北市,[241]新北市三重區中正北路113號,(02)29826272,https://www.cyps.ntpc.edu.tw
112,014785,市立五華國小,公立,[01]新北市,[241]新北市三重區集賢路89號,(02)28578087,https://www.whes.ntpc.edu.tw
112,014786,市立成功國小,公立,[01]新北市,[247]新北市蘆洲區長安街311號,(02)22858998,https://www.tces.ntpc.edu.tw
112,014787,市立仁愛國小,公立,[01]新北市,[247]新北市蘆洲區民族路488號,(02)22838815,https://www.jaes.ntpc.edu.tw
112,014788,市立榮富國小,公立,[01]新北市,[242]新北市新莊區中和街193號,(02)22769020,https://www.lfes.ntpc.edu.tw
112,014789,市立裕民國小,公立,[01]新北市,[242]新北市新莊區裕民街123號,(02)29062407,https://www.ymes.ntpc.edu.tw
112,014790,市立新泰國小,公立,[01]新北市,[242]新北市新莊區公園一路91號,(02)29971005,https://www.stps.ntpc.edu.tw
112,014791,市立中信國小,公立,[01]新北市,[242]新北市新莊區中信街168號,(02)85211131,https://www.ches.ntpc.edu.tw
112,014792,市立德音國小,公立,[01]新北市,[248]新北市五股區明德路2號,(02)22924152,https://www.tyes.ntpc.edu.tw
112,014793,市立麗園國小,公立,[01]新北市,[244]新北市林口區忠孝路591號,(02)26091061,https://www.lyaes.ntpc.edu.tw
112,014794,市立北新國小,公立,[01]新北市,[231]新北市新店區寶橋路8號,(02)29189300,https://www.tspes.ntpc.edu.tw
112,014795,市立同榮國小,公立,[01]新北市,[243]新北市泰山區公園路33號,(02)22968551,https://www.tres.ntpc.edu.tw
112,014796,市立光復國小,公立,[01]新北市,[235]新北市中和區光環路二段1號,(02)32348654,https://www.kfes.ntpc.edu.tw
112,014797,市立秀峰國小,公立,[01]新北市,[221]新北市汐止區仁愛路90號,(02)26480611,https://www.sfps.ntpc.edu.tw
112,014798,市立金龍國小,公立,[01]新北市,[221]新北市汐止區明峰街201號,(02)26959941,https://www.gdps.ntpc.edu.tw
112,014799,市立介壽國小,公立,[01]新北市,[237]新北市三峽區大同路1號,(02)26712392,https://www.jses.ntpc.edu.tw
112,014801,市立昌平國小,公立,[01]新北市,[242]新北市新莊區昌平街200號,(02)85215492,https://www.cpps.ntpc.edu.tw
112,014802,市立麗林國小,公立,[01]新北市,[244]新北市林口區公園路46號,(02)26008457,https://www.lles.ntpc.edu.tw
112,014803,市立集美國小,公立,[01]新北市,[241]新北市三重區集美街10號,(02)89725390,https://www.jmes.ntpc.edu.tw
112,014804,市立永吉國小,公立,[01]新北市,[239]新北市鶯歌區德昌二街2號,(02)26704177,https://www.yces.ntpc.edu.tw
